age,min_recommended,max_recommended,may_be_appropriate_min,may_be_appropriate_max,min_not_recommended,max_not_recommended
639,7,9,6,10,6,10
640,7,9,6,10,6,10
641,7,9,6,10,6,10
642,7,9,6,10,6,10
643,7,9,6,10,6,10
644,7,9,6,10,6,10
645,7,9,6,10,6,10
646,7,9,6,10,6,10
647,7,9,6,10,6,10
648,7,9,6,10,6,10
649,7,9,6,10,6,10
650,7,9,6,10,6,10
651,7,9,6,10,6,10
652,7,9,6,10,6,10
653,7,9,6,10,6,10
654,7,9,6,10,6,10
655,7,9,6,10,6,10
656,7,9,6,10,6,10
657,7,9,6,10,6,10
658,7,9,6,10,6,10
659,7,9,6,10,6,10
660,7,9,6,10,6,10
661,7,9,6,10,6,10
662,7,9,6,10,6,10
663,7,9,6,10,6,10
664,7,9,6,10,6,10
665,7,9,6,10,6,10
666,7,9,6,10,6,10
667,7,9,6,10,6,10
668,7,9,6,10,6,10
669,7,9,6,10,6,10
670,7,9,6,10,6,10
671,7,9,6,10,6,10
672,7,9,6,10,6,10
673,7,9,6,10,6,10
674,7,9,6,10,6,10
675,7,9,6,10,6,10
676,7,9,6,10,6,10
677,7,9,6,10,6,10
678,7,9,6,10,6,10
679,7,9,6,10,6,10
680,7,9,6,10,6,10
681,7,9,6,10,6,10
682,7,9,6,10,6,10
683,7,9,6,10,6,10
684,7,9,6,10,6,10
685,7,9,6,10,6,10
686,7,9,6,10,6,10
687,7,9,6,10,6,10
688,7,9,6,10,6,10
689,7,9,6,10,6,10
690,7,9,6,10,6,10
691,7,9,6,10,6,10
692,7,9,6,10,6,10
693,7,9,6,10,6,10
694,7,9,6,10,6,10
695,7,9,6,10,6,10
696,7,9,6,10,6,10
697,7,9,6,10,6,10
698,7,9,6,10,6,10
699,7,9,6,10,6,10
700,7,9,6,10,6,10
701,7,9,6,10,6,10
702,7,9,6,10,6,10
703,7,9,6,10,6,10
704,7,9,6,10,6,10
705,7,9,6,10,6,10
706,7,9,6,10,6,10
707,7,9,6,10,6,10
708,7,9,6,10,6,10
709,7,9,6,10,6,10
710,7,9,6,10,6,10
711,7,9,6,10,6,10
712,7,9,6,10,6,10
713,7,9,6,10,6,10
714,7,9,6,10,6,10
715,7,9,6,10,6,10
716,7,9,6,10,6,10
717,7,9,6,10,6,10
718,7,9,6,10,6,10
719,7,9,6,10,6,10
720,7,9,6,10,6,10
721,7,9,6,10,6,10
722,7,9,6,10,6,10
723,7,9,6,10,6,10
724,7,9,6,10,6,10
725,7,9,6,10,6,10
726,7,9,6,10,6,10
727,7,9,6,10,6,10
728,7,9,6,10,6,10
729,7,9,6,10,6,10
730,7,9,6,10,6,10
731,7,9,6,10,6,10
732,7,9,6,10,6,10
733,7,9,6,10,6,10
734,7,9,6,10,6,10
735,7,9,6,10,6,10
736,7,9,6,10,6,10
737,7,9,6,10,6,10
738,7,9,6,10,6,10
739,7,9,6,10,6,10
740,7,9,6,10,6,10
741,7,9,6,10,6,10
742,7,9,6,10,6,10
743,7,9,6,10,6,10
744,7,9,6,10,6,10
745,7,9,6,10,6,10
746,7,9,6,10,6,10
747,7,9,6,10,6,10
748,7,9,6,10,6,10
749,7,9,6,10,6,10
750,7,9,6,10,6,10
751,7,9,6,10,6,10
752,7,9,6,10,6,10
753,7,9,6,10,6,10
754,7,9,6,10,6,10
755,7,9,6,10,6,10
756,7,9,6,10,6,10
757,7,9,6,10,6,10
758,7,9,6,10,6,10
759,7,9,6,10,6,10
760,7,9,6,10,6,10
761,7,9,6,10,6,10
762,7,9,6,10,6,10
763,7,9,6,10,6,10
764,7,9,6,10,6,10
765,7,9,6,10,6,10
766,7,9,6,10,6,10
767,7,9,6,10,6,10
768,7,9,6,10,6,10
769,7,8,5,6,5,9
770,7,8,5,6,5,9
771,7,8,5,6,5,9
772,7,8,5,6,5,9
773,7,8,5,6,5,9
774,7,8,5,6,5,9
775,7,8,5,6,5,9
776,7,8,5,6,5,9
777,7,8,5,6,5,9
778,7,8,5,6,5,9
779,7,8,5,6,5,9
